시군구,2014년,2015년,2016년,2017년,2018년
서울특별시 종로구,2723293,2755607,2737610,2870292,3007628
서울특별시 중구,2865653,2922120,3001390,3078491,3120706
서울특별시 용산구,2180357,2327359,2369072,2464669,2539369
서울특별시 성동구,2042650,2141397,2214343,2386608,2476470
서울특별시 광진구,1788230,1832328,1874423,1949150,1997491
서울특별시 동대문구,1818111,1871441,1908983,1986705,2033946
서울특별시 중랑구,1595331,1645088,1675382,1744087,1795134
서울특별시 성북구,1728470,1787412,1833635,1751865,1822824
서울특별시 강북구,1468551,1510498,1549998,1607661,1655036
서울특별시 도봉구,1472321,1520042,1574698,1639953,1679599
서울특별시 노원구,1550019,1605707,1659871,1727467,1782631
서울특별시 은평구,1513342,1548901,1609273,1674740,1736519
서울특별시 서대문구,1877476,1981819,2022494,2219753,2288074
서울특별시 마포구,2283681,2326481,2301901,2379891,2455158
서울특별시 양천구,1726874,1786697,1851848,1901150,1963020
서울특별시 강서구,2121727,2187588,2266834,2328332,2503888
서울특별시 구로구,2062891,2121337,2199729,2278171,2348314
서울특별시 금천구,2153786,2194374,2250370,2451077,2548108
서울특별시 영등포구,2728605,2806587,2906795,3025915,3182411
서울특별시 동작구,1881929,1917661,1954235,2029431,2097330
서울특별시 관악구,1620741,1669579,1701159,1775793,1823791
서울특별시 서초구,2666834,2706868,2787295,2898523,3009448
서울특별시 강남구,2412178,2477743,2556670,2633949,2759031
서울특별시 송파구,2177424,2214289,2308369,2401889,2483148
서울특별시 강동구,1898998,1964518,1992023,2074680,2308384
부산광역시 중구,2176831,2244875,2316801,2352639,2427117
부산광역시 서구,1807887,1886791,1832011,1910622,1962555
부산광역시 동구,1990656,2024712,2074345,2141593,2256578
부산광역시 영도구,1897811,1992056,2070338,2152090,2219032
부산광역시 부산진구,1744415,1775294,1881929,1942734,2025964
부산광역시 동래구,1598839,1713856,1765959,1835307,1899069
부산광역시 남구,2010482,2118700,2188555,2282317,2335888
부산광역시 북구,1485124,1544069,1598681,1668611,1726353
부산광역시 해운대구,1720073,1804252,1860373,1955704,2031148
부산광역시 사하구,1803279,1871609,1924149,1995849,2054407
부산광역시 금정구,1730827,1797877,1848685,1919208,1964808
부산광역시 강서구,2448162,2523095,2599318,2674693,2760255
부산광역시 연제구,1681700,1720172,1802149,1873152,1943907
부산광역시 수영구,1574646,1643967,1705746,1798340,1848566
부산광역시 사상구,1926866,2015366,2082038,2151080,2224061
부산광역시 기장군,1915229,1996222,2050460,2139012,2213594
대구광역시 중구,1755586,1820384,1790502,1865458,1960344
대구광역시 동구,1714592,1862596,1948344,2013178,2103605
대구광역시 서구,1694072,1766307,1844428,1886915,1949831
대구광역시 남구,1450615,1532428,1600462,1678295,1756888
대구광역시 북구,1651046,1739281,1873182,1952054,1971452
대구광역시 수성구,1650844,1724785,1705289,1759714,1910259
대구광역시 달서구,1812436,1890407,1977737,2075364,2144833
대구광역시 달성군,2074396,2144182,2182570,2260808,2359960
인천광역시 중구,2120526,2272681,2343864,2404321,2478842
인천광역시 동구,2497656,2608233,2536885,2620806,2731778
인천광역시 미추홀구,1644213,1693128,1724822,1809166,1870321
인천광역시 연수구,2041088,2125284,2189255,2283428,2370834
인천광역시 남동구,2013993,2067446,2110998,2188150,2263479
인천광역시 부평구,2009527,2066072,2107797,2176456,2196903
인천광역시 계양구,1590428,1650385,1688925,1757415,1822802
인천광역시 서구,1964505,2024336,2076099,2165076,2223604
인천광역시 강화군,1567169,1627270,1705032,1795061,1888932
인천광역시 옹진군,1582575,1674269,1747311,1746371,1821610
광주광역시 동구,1878860,1949675,1845991,1931342,2028054
광주광역시 서구,1857630,1925246,1978710,2057193,2157469
광주광역시 남구,1546907,1630644,1679079,1754051,1799856
광주광역시 북구,1627038,1695193,1753701,1834755,1918399
광주광역시 광산구,1867703,1942690,2007196,2088917,2180461
대전광역시 동구,1799223,1873244,1994675,2094195,2187359
대전광역시 중구,1604527,1671266,1681527,1741215,1819046
대전광역시 서구,1642925,1713887,1794194,1851917,1935030
대전광역시 유성구,2225771,2300358,2374172,2451750,2540552
대전광역시 대덕구,2246037,2325763,2410803,2509522,2611131
울산광역시 중구,1995741,2062276,2128335,2189639,2261679
울산광역시 남구,2146579,2200457,2255169,2319640,2388351
울산광역시 동구,2969941,3043862,3098576,2917958,2968507
울산광역시 북구,2255144,2312566,2317678,2362127,2385524
울산광역시 울주군,2308450,2370554,2408379,2609199,2528967
세종특별자치시,2039151,2127799,2159363,2223934,2262502
경기도 수원시,2472805,2527400,2566629,2648265,2746762
경기도 성남시,2371957,2408522,2508011,2614110,2678404
경기도 의정부시,1503370,1549317,1600460,1684816,1742987
경기도 안양시,2039484,2113972,2171031,2256145,2360169
경기도 부천시,1770439,1821883,1879190,1955837,2017712
경기도 광명시,1821252,1909302,1989507,2065928,2160589
경기도 평택시,2187167,2268575,2380862,2464465,2604783
경기도 동두천시,1606049,1612494,1687755,1781673,1841616
